MUTUAL_TYPE,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz
,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP
TRADE_DATE,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,-1936.96,-3268.51,53936.96,560703.03,19039.03,22307.54,600210.SH,紫江企业,9.91,3013.05,-0.6,841990436997.24,177.629999999997,-1562.83,51822.37,498553.37,31544.6,33107.43,002617.SZ,露笑科技,10.0,11856.08,0.71,618667030377.571
2020-02-26,-432.699999999997,-1646.81,52432.7,559056.22,20999.5,22646.31,601038.SH,一拖股份,9.95,2987.93,-0.83,832779386434.108,-3503.56,-5080.08,55503.56,493473.29,29718.22,34798.3,002941.SZ,新疆交建,10.02,11497.55,-3.02,597619655318.299
2020-02-27,-986.599999999999,-2093.32,52986.6,556962.9,19019.21,21112.53,603317.SH,天味食品,10.0,2991.33,0.11,837135731928.371,-71.459999999999,-1847.18,52071.46,491626.11,27203.43,29050.61,300459.SZ,汤姆猫,10.08,11534.02,0.32,599501715408.38
2020-02-28,-2324.0,-3605.58,54324.0,553357.32,21439.68,25045.26,600688.SH,上海石化,5.26,2880.3,-3.71,806829025043.669,-102.0,-1531.22,52102.0,490094.89,32697.28,34228.5,002768.SZ,国恩股份,10.0,10980.77,-4.8,573431058650.5
2020-03-02,3995.06,2649.54,48004.94,556006.86,22616.06,19966.52,601666.SH,平煤股份,10.03,2970.93,3.15,835105267928.291,2846.31,1502.47,49153.69,491597.36,31171.58,29669.11,002768.SZ,国恩股份,10.01,11381.76,3.65,593688668921.689
2020-03-03,2339.09,1145.29,49660.91,557152.15,21305.1,20159.81,603801.SH,志邦家居,10.0,2992.9,0.74,843623661459.54,518.660000000003,-665.0,51481.34,490932.36,30540.4,31205.4,002768.SZ,国恩股份,10.01,11484.21,0.9,598055500893.09
2020-03-04,2484.35,1333.79,49515.65,558485.94,19338.95,18005.16,603801.SH,志邦家居,9.99,3011.67,0.63,851508940752.25,-906.440000000002,-2114.22,52906.44,488818.14,25202.42,27316.64,002768.SZ,国恩股份,10.02,11493.02,0.08,597282208159.78
2020-03-05,3935.4,3219.73,48064.6,561705.67,23799.63,20579.9,600089.SH,特变电工,10.01,3071.68,1.99,874700041769.29,2212.71,1590.89,49787.29,490409.03,28814.59,27223.7,002768.SZ,国恩股份,10.0,11711.37,1.9,613102920614.81
2020-03-06,-1739.0,-2674.85,53739.0,559030.82,14777.54,17452.39,600688.SH,上海石化,10.02,3034.51,-1.21,859656172422.869,981.0,-367.259999999998,51019.0,490041.77,22402.72,22769.98,002768.SZ,国恩股份,10.01,11582.82,-1.1,604583795773.08
2020-03-09,-8702.53,-9671.17,60702.53,549359.65,16646.77,26317.94,600688.SH,上海石化,10.0,2943.29,-3.01,820894419428.59,-3494.65,-4647.72,55494.65,485394.05,25523.19,30170.91,002768.SZ,国恩股份,10.0,11108.55,-4.09,577344613001.339
2020-03-10,1842.36,626.32,50157.64,549985.97,19713.55,19087.23,601869.SH,长飞光纤,10.0,2996.76,1.82,839899636147.599,3783.34,2469.55,48216.66,487863.6,29106.99,26637.44,300768.SZ,迪普科技,10.01,11403.47,2.65,594161406504.199
2020-03-11,754.779999999999,-112.959999999999,51245.22,549873.01,17039.45,17152.41,600167.SH,联美控股,10.01,2968.52,-0.94,831241340817.41,-6127.22,-7352.07,58127.22,480511.53,20764.37,28116.44,002488.SZ,金固股份,9.99,11200.05,-1.78,577556510379.77
2020-03-12,-5533.3,-6640.14,57533.3,543232.87,15207.12,21847.26,600026.SH,中远海能,5.47,2923.49,-1.52,809143172156.789,-525.150000000001,-1740.24,52525.15,478771.29,23454.23,25194.47,002075.SZ,沙钢股份,10.02,10941.01,-2.31,561725718196.411
2020-03-13,-9705.0,-10553.88,61705.0,532678.99,17870.18,28424.06,600775.SH,南京熊猫,10.0,2887.43,-1.23,786614213736.821,-3437.0,-4172.42,55437.0,474598.87,24610.3,28782.72,002498.SZ,汉缆股份,9.94,10831.13,-1.0,550825659015.92
2020-03-16,-4870.53,-5316.74,56870.53,527362.25,17618.08,22934.82,600688.SH,上海石化,7.95,2789.25,-3.4,749056348766.451,-3939.08,-4490.74,55939.08,470108.13,25500.71,29991.45,002603.SZ,以岭药业,10.03,10253.28,-5.33,517730908378.94
2020-03-17,-5042.29,-5601.81,57042.29,521760.44,16284.62,21886.43,600522.SH,中天科技,10.0,2779.64,-0.34,739445240746.969,-2099.79,-2636.22,54099.79,467471.91,23883.47,26519.69,300253.SZ,卫宁健康,9.99,10202.75,-0.49,510801430842.23
2020-03-18,-3691.76,-4111.57,55691.76,517648.87,15139.74,19251.31,603283.SH,赛腾股份,4.88,2728.76,-1.83,720682479541.691,-2705.38,-3079.66,54705.38,464392.25,23974.2,27053.86,002030.SZ,达安基因,9.99,10029.57,-1.7,551773858616.799
2020-03-19,-5248.44,-5635.08,57248.44,512013.79,16730.99,22366.07,603712.SH,七一二,9.99,2702.13,-0.98,702729996091.191,-4218.15,-4585.27,56218.15,459806.98,24692.33,29277.6,300398.SZ,飞凯材料,10.02,10019.86,-0.1,540027463301.61
2020-03-20,4673.31,3594.9,47326.69,515608.69,21282.07,17687.17,603233.SH,大参林,10.01,2745.62,1.61,723522736864.441,-1271.55,-1908.27,53271.55,457898.71,22078.76,23987.03,300401.SZ,花园生物,10.04,10150.13,1.3,547911525449.9
2020-03-23,-5878.16,-6294.21,57878.16,509314.48,12928.26,19222.47,600598.SH,北大荒,9.97,2660.17,-3.11,698446572534.808,-1278.17,-1705.05,53278.17,456193.66,19710.7,21415.75,300765.SZ,新诺威,10.0,9691.53,-4.52,523129347077.88
2020-03-24,3605.05,3063.18,48394.95,512377.66,17550.22,14487.04,600547.SH,山东黄金,10.0,2722.44,2.34,723389201437.56,1495.68,923.959999999999,50504.32,457117.62,20773.32,19849.36,000975.SZ,银泰黄金,10.04,9921.68,2.37,538897486453.15
2020-03-25,1797.85,1245.33,50202.15,513622.99,17320.25,16074.92,600741.SH,华域汽车,10.02,2781.59,2.17,742562395240.84,1879.46,1258.53,50120.54,458376.15,21404.83,20146.3,000019.SZ,深粮控股,10.02,10241.08,3.22,558970283478.921
2020-03-26,11.779999999999,-569.299999999999,51988.22,513053.69,12852.51,13421.81,600196.SH,复星医药,10.0,2764.91,-0.6,738244770303.26,-180.830000000002,-788.209999999999,52180.83,457587.94,17062.59,17850.8,000887.SZ,中鼎股份,10.03,10155.36,-0.84,555949422496.819
2020-03-27,2895.0,2271.58,49105.0,515325.27,15440.74,13169.16,600521.SH,华海药业,10.0,2772.2,0.26,744096504635.619,1833.0,1142.15,50167.0,458730.09,18977.64,17835.49,002768.SZ,国恩股份,10.0,10109.91,-0.45,556997341577.33
2020-03-30,619.110000000001,-122.630000000001,51380.89,515202.64,15137.05,15259.68,603728.SH,鸣志电器,9.98,2747.21,-0.9,738534813330.941,661.110000000001,-3.060000000001,51338.89,458727.03,19055.78,19058.84,000987.SZ,越秀资本,9.95,9904.95,-2.03,546269408646.512
2020-03-31,1112.01,419.0,50887.99,515621.64,14453.08,14034.08,600392.SH,盛和资源,10.03,2750.3,0.11,745812884203.53,1954.12,1230.85,50045.88,459957.88,17838.12,16607.27,002028.SZ,思源电气,10.02,9962.3,0.58,552662163587.214
2020-04-01,983.5,412.67,51016.5,516034.31,12945.86,12533.19,603638.SH,艾迪精密,7.47,2734.52,-0.57,741812115134.421,4469.38,3822.33,47530.62,463780.21,20753.51,16931.18,002156.SZ,通富微电,10.0,9951.84,-0.11,556090315646.91
2020-04-02,2968.55,2159.7,49031.45,518194.01,14217.92,12058.22,600688.SH,上海石化,10.08,2780.64,1.69,757146562814.86,2987.73,2172.06,49012.27,465952.27,20159.97,17987.91,002421.SZ,达实智能,10.15,10179.2,2.28,568459439633.22
2020-04-03,1144.0,522.889999999999,50856.0,518716.9,11834.65,11311.76,603713.SH,密尔克卫,9.99,2763.99,-0.6,756543982167.32,-1808.0,-2466.07,53808.0,463486.2,15977.1,18443.17,000021.SZ,深科技,10.03,10110.11,-0.68,563201515901.51
2020-04-07,7169.04,6214.06,44830.96,524930.96,19944.14,13730.08,600452.SH,涪陵电力,9.99,2820.76,2.05,779552232951.32,7352.22,6459.7,44647.78,469945.9,24836.94,18377.24,000676.SZ,智度股份,10.01,10428.91,3.15,586361122173.181
2020-04-08,-1003.49,-1858.24,53003.49,523072.72,12008.96,13867.2,600299.SH,安迪苏,6.9,2815.37,-0.19,774314697511.499,-683.540000000001,-1594.46,52683.54,468351.44,16840.87,18435.33,002123.SZ,梦网科技,9.98,10386.55,-0.41,581081280326.72
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,5844.58,4721.99,46155.42,527794.71,20662.91,15940.92,603127.SH,昭衍新药,10.0,2827.28,1.59,792261690485.459,10666.76,9506.99,41333.24,477858.43,28997.89,19490.9,002506.SZ,协鑫集成,10.11,10475.71,2.47,603804654510.942
2020-04-15,1714.8,890.120000000001,50285.2,528684.83,13038.5,12148.38,603387.SH,基蛋生物,10.01,2811.17,-0.57,786808210564.569,3383.65,2464.27,48616.35,480322.7,21095.91,18631.64,300026.SZ,红日药业,10.0,10417.37,-0.56,602218247785.42
2020-04-16,2839.77,1950.41,49160.23,530635.24,13727.5,11777.09,600577.SH,精达股份,10.0,2819.94,0.31,790678567707.85,2871.91,1864.1,49128.09,482186.8,18300.87,16436.77,300026.SZ,红日药业,9.93,10470.79,0.51,605398618494.56
2020-04-17,5750.0,4936.61,46250.0,535571.85,18805.21,13868.6,600720.SH,中交设计,7.23,2838.49,0.66,805311932832.56,4587.0,3687.02,47413.0,485873.82,24266.63,20579.61,300026.SZ,红日药业,9.95,10527.99,0.55,612969063961.53
2020-04-20,61.779999999999,-766.9,51938.22,534804.95,12901.41,13668.31,601107.SH,四川成渝,9.55,2852.55,0.5,809501636704.049,1736.97,816.829999999998,50263.03,486690.65,17502.91,16686.08,002061.SZ,浙江交科,10.09,10621.5,0.89,619462664748.2
2020-04-21,-427.989999999998,-1245.52,52427.99,533559.43,11683.46,12928.98,603881.SH,数据港,5.12,2827.01,-0.9,798277671977.461,-598.059999999998,-1507.0,52598.06,485183.65,16408.65,17915.65,002375.SZ,亚厦股份,10.0,10506.86,-1.08,611360419981.157
2020-04-22,1645.97,693.18,50354.03,534252.61,13181.69,12488.51,601216.SH,君正集团,10.16,2843.98,0.6,808724304335.69,1471.92,484.879999999999,50528.08,485668.53,16767.71,16282.83,002481.SZ,双塔食品,10.0,10617.19,1.05,619459702167.33
2020-04-23,2393.81,1619.98,49606.19,535872.59,13947.11,12327.13,600583.SH,海油工程,10.06,2838.5,-0.19,809384642267.75,-22.129999999997,-928.93,52022.13,484739.6,16301.46,17230.39,000019.SZ,深粮控股,10.01,10564.05,-0.5,618452583601.84
2020-04-24,2288.0,1562.44,49712.0,537435.03,13074.21,11511.77,603369.SH,今世缘,10.01,2808.53,-1.06,806351125796.91,2517.0,1687.31,49483.0,486426.91,16285.04,14597.73,002568.SZ,百润股份,10.01,10423.46,-1.33,615139377083.649
2020-04-27,2529.06,1879.81,49470.94,539314.84,14815.34,12935.53,601038.SH,一拖股份,10.01,2815.49,0.25,814272876965.88,2862.64,2058.78,49137.36,488485.69,17190.76,15131.98,002416.SZ,爱施德,10.03,10452.17,0.28,621511747397.77
2020-04-28,735.669999999998,3.26,51264.33,539318.1,15553.27,15550.01,600809.SH,山西汾酒,10.0,2810.02,-0.19,820384249330.401,1868.5,1033.43,50131.5,489519.12,21049.52,20016.09,002416.SZ,爱施德,10.01,10501.15,0.47,629360551848.725
2020-05-06,-1183.43,-2320.74,53183.43,536997.36,21308.31,23629.05,603986.SH,兆易创新,10.0,2878.14,0.63,830194348950.159,4502.59,3461.09,47497.41,492980.21,30036.97,26575.88,002498.SZ,汉缆股份,10.02,10883.22,1.51,648558885508.141
2020-05-07,-475.209999999999,-1310.32,52475.21,535687.04,14749.69,16060.01,603393.SH,新天然气,10.01,2871.52,-0.23,829406862008.76,-961.809999999998,-1838.1,52961.81,491142.11,19238.17,21076.27,002768.SZ,国恩股份,10.0,10863.29,-0.18,646644852260.98
2020-05-08,2088.0,1317.48,49912.0,537004.52,16127.67,14810.19,603801.SH,志邦家居,10.0,2895.34,0.83,837405569698.699,4501.0,3547.57,47499.0,494689.68,22691.45,19143.88,300459.SZ,汤姆猫,10.08,11001.58,1.27,660830829733.051
2020-05-11,1874.56,1071.89,50125.44,538076.41,15014.76,13942.87,603279.SH,景津装备,10.01,2894.8,-0.02,836522507838.651,2526.52,1575.67,49473.48,496265.35,22727.36,21151.69,300633.SZ,开立医疗,9.99,10969.28,-0.29,661130659302.9
2020-05-12,1320.34,561.869999999999,50679.66,538638.28,14415.98,13854.11,601038.SH,一拖股份,9.99,2891.56,-0.11,840326002644.54,2073.04,1188.07,49926.96,497453.42,20103.23,18915.16,300463.SZ,迈克生物,10.01,11015.56,0.42,666786846136.25
2020-05-13,655.110000000001,26.09,51344.89,538664.37,11269.94,11243.85,603317.SH,天味食品,10.01,2898.05,0.22,841946401117.07,740.019999999997,-230.73,51259.98,497222.69,18145.44,18376.17,002429.SZ,兆驰股份,9.98,11074.59,0.54,670183815360.719
2020-05-14,-1057.39,-1650.19,53057.39,537014.18,10577.88,12228.07,603279.SH,景津装备,10.0,2870.34,-0.96,831239870380.62,1186.01,325.380000000001,50813.99,497548.07,16908.47,16583.09,000676.SZ,智度股份,10.0,10962.15,-1.02,664781787602.12
2020-05-15,419.0,-111.529999999999,51581.0,536902.65,11666.36,11777.89,603881.SH,数据港,10.0,2868.46,-0.07,826385829422.65,2132.0,1305.91,49868.0,498853.98,17752.22,16446.31,000987.SZ,越秀资本,10.0,10964.89,0.03,663409501298.23
2020-05-18,3077.61,2436.11,48922.39,539338.76,15324.52,12888.41,600459.SH,贵研铂业,10.02,2875.42,0.24,835652276222.64,1543.44,967.760000000002,50456.56,499821.74,22776.47,21808.71,002302.SZ,西部建设,9.97,10921.15,-0.4,666744805688.9
2020-05-19,1467.52,885.299999999999,50532.48,540224.06,12428.98,11543.68,600329.SH,达仁堂,9.98,2898.58,0.81,843617527940.61,3450.96,2813.75,48549.04,502635.49,19366.19,16552.44,002498.SZ,汉缆股份,10.05,11052.85,1.21,677439015080.503
