MUTUAL_TYPE,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk
,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP
TRADE_DATE,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,,1123.0,637.32,40877.0,316128.69,5086.34,4449.02,01772.HK,赣锋锂业,9.78,26893.23,0.27,1173379065824.92
2020-02-26,3674.0,3319.45,38326.0,822140.22,6919.36,3599.91,00038.HK,第一拖拉机股份,10.46,26696.49,-0.73,1154837369253.32,866.0,427.35,41134.0,316556.04,3856.01,3428.66,00038.HK,第一拖拉机股份,10.46,26696.49,-0.73,1166761932258.12
2020-02-27,3807.0,3543.97,38193.0,825684.19,6445.53,2901.56,00241.HK,阿里健康,9.53,26778.62,0.31,1168390362585.58,1257.0,826.61,40743.0,317382.65,3744.71,2918.1,00895.HK,东江环保,9.89,26778.62,0.31,1180922332667.28
2020-02-28,3245.0,2734.49,38755.0,828418.68,8256.72,5522.23,01635.HK,大众公用,2.94,26129.93,-2.42,1137238648393.31,1447.0,1045.78,40553.0,318428.43,4939.06,3893.28,00853.HK,微创医疗,7.69,26129.93,-2.42,1149133244903.74
2020-03-02,2309.0,1813.82,39691.0,830232.5,6970.89,5157.07,03323.HK,中国建材,10.21,26291.68,0.62,1162215438137.93,2325.0,1992.56,39675.0,320420.99,5474.22,3481.66,00853.HK,微创医疗,25.46,26291.68,0.62,1174082331342.96
2020-03-03,2888.0,2591.87,39112.0,832824.37,6998.69,4406.82,00241.HK,阿里健康,8.58,26284.82,-0.03,1166107979755.93,850.0,472.83,41150.0,320893.82,4485.29,4012.46,00241.HK,阿里健康,8.58,26284.82,-0.03,1177989426907.35
2020-03-04,1565.0,1069.41,40435.0,833893.78,5699.47,4630.06,01359.HK,中国信达,5.29,26222.07,-0.24,1172006060384.79,502.0,56.93,41498.0,320950.75,3251.04,3194.11,01359.HK,中国信达,5.29,26222.07,-0.24,1184348567738.55
2020-03-05,3944.0,3643.14,38056.0,837536.92,8145.81,4502.67,01951.HK,锦欣生殖,10.78,26767.87,2.08,1195981645303.94,2922.0,2586.08,39078.0,323536.83,6167.96,3581.88,01951.HK,锦欣生殖,10.78,26767.87,2.08,1208135210064.4
2020-03-06,2962.0,2575.22,39038.0,840112.14,6588.17,4012.95,01787.HK,山东黄金,4.58,26146.67,-2.32,1172576493546.42,1027.0,681.52,40973.0,324218.35,3430.31,2748.79,00512.HK,远大医药,6.05,26146.67,-2.32,1184603259613.15
2020-03-09,5895.0,5824.53,36105.0,845936.67,11433.56,5609.03,01138.HK,中远海能,8.01,25040.46,-4.23,1124214265815.78,2330.0,1990.38,39670.0,326208.73,7055.31,5064.93,01138.HK,中远海能,8.01,25040.46,-4.23,1135978594360.61
2020-03-10,5240.0,4898.46,36760.0,850835.13,9321.52,4423.06,06869.HK,长飞光纤光缆,7.95,25392.51,1.41,1144762357068.19,3728.0,3463.66,38272.0,329672.39,6981.52,3517.86,00410.HK,SOHO中国,37.58,25392.51,1.41,1156053444589.58
2020-03-11,4553.0,4379.77,37447.0,855214.9,8178.6,3798.83,01138.HK,中远海能,18.34,25231.61,-0.63,1146696473971.43,1985.0,1640.19,40015.0,331312.58,4743.65,3103.46,01138.HK,中远海能,18.34,25231.61,-0.63,1157950964953.84
2020-03-12,9164.0,9131.53,32836.0,864346.43,13551.58,4420.05,02016.HK,浙商银行,5.01,24309.07,-3.66,1114197208580.61,3821.0,3566.79,38179.0,334879.37,7028.52,3461.73,02016.HK,浙商银行,5.01,24309.07,-3.66,1124954540112.29
2020-03-13,10696.0,10335.38,31304.0,874681.81,17259.58,6924.2,00345.HK,VITASOYINT'L,5.24,24032.91,-1.14,1111239810001.29,6186.0,5835.33,35814.0,340714.7,10200.38,4365.05,00853.HK,微创医疗,27.52,24032.91,-1.14,1121741534370.82
2020-03-16,4962.0,5258.74,37038.0,879940.55,12469.87,7211.13,02068.HK,中铝国际,3.83,23063.57,-4.03,1063339939250.28,1909.0,1535.09,40091.0,342249.79,7067.12,5532.03,02068.HK,中铝国际,3.83,23063.57,-4.03,1073376107667.39
2020-03-17,7700.0,7379.15,34300.0,887319.7,13419.9,6040.75,01458.HK,周黑鸭,8.95,23263.73,0.87,1078698077469.8,2870.0,2492.06,39130.0,344741.85,6755.31,4263.25,03868.HK,信义能源,13.5,23263.73,0.87,1088647044491.28
2020-03-18,4428.0,4041.3,37572.0,891361.0,11703.89,7662.59,00772.HK,阅文集团,6.31,22291.82,-4.18,1040259721240.29,2662.0,1751.47,39338.0,346493.32,6950.93,5199.46,00772.HK,阅文集团,6.31,22291.82,-4.18,1049847232364.83
2020-03-19,10953.0,10826.28,31047.0,902187.28,19788.51,8962.23,00268.HK,金蝶国际,8.06,21709.13,-2.61,1027161504542.25,5594.0,5079.77,36406.0,351573.09,11335.47,6255.7,02013.HK,微盟集团,9.22,21709.13,-2.61,1036466079221.5
2020-03-20,4180.0,3608.68,37820.0,905795.96,9978.52,6369.84,00200.HK,新濠国际发展,22.26,22805.07,5.05,1090037626355.21,2429.0,1700.56,39571.0,353273.65,6836.67,5136.11,00200.HK,新濠国际发展,22.26,22805.07,5.05,1100127465919.4
2020-03-23,8036.0,7679.66,33964.0,913475.62,12817.79,5138.13,01888.HK,建滔积层板,3.75,21696.13,-4.86,1057871620838.12,2246.0,1830.58,39754.0,355104.23,5805.31,3974.73,00460.HK,四环医药,6.49,21696.13,-4.86,1067308090514.4
2020-03-24,3289.0,2562.71,38711.0,916038.33,8878.43,6315.72,01316.HK,耐世特,20.81,22663.49,4.46,1114680727783.47,2261.0,1702.66,39739.0,356806.89,5889.05,4186.39,01316.HK,耐世特,20.81,22663.49,4.46,1124477126843.72
2020-03-25,4870.0,4382.79,37130.0,920421.12,11152.39,6769.6,00135.HK,昆仑能源,23.1,23527.19,3.81,1171008732193.22,1946.0,1358.31,40054.0,358165.2,6475.01,5116.7,00135.HK,昆仑能源,23.1,23527.19,3.81,1181232786057.89
2020-03-26,2666.0,1360.4,39334.0,921781.52,6501.6,5141.2,02196.HK,复星医药,11.9,23352.34,-0.74,1169588700669.74,963.0,461.77,41037.0,358626.97,4344.9,3883.13,02196.HK,复星医药,11.9,23352.34,-0.74,1179900804011.63
2020-03-27,1904.0,65.900000000001,40096.0,921847.42,6391.52,6325.62,02331.HK,李宁,13.22,23484.28,0.56,1179701710097.35,992.0,429.04,41008.0,359056.01,4911.87,4482.83,02331.HK,李宁,13.22,23484.28,0.56,1190095643096.52
2020-03-30,3511.0,2966.35,38489.0,924813.77,7861.45,4895.1,00317.HK,中船防务,8.67,23175.11,-1.32,1167132936286.87,1399.0,889.14,40601.0,359945.15,4266.39,3377.25,01585.HK,雅迪控股,20.0,23175.11,-1.32,1177836361727.0
2020-03-31,1520.0,728.57,40480.0,925542.34,5511.0,4782.43,01138.HK,中远海能,13.32,23603.48,1.85,1189503316209.13,1590.0,1099.03,40410.0,361044.18,4507.4,3408.37,01610.HK,中粮家佳康,14.52,23603.48,1.85,1200014463554.85
2020-04-01,2865.0,2376.83,39135.0,927919.17,7431.99,5055.16,02727.HK,上海电气,4.88,23085.79,-2.19,1164878619290.49,1140.0,616.37,40860.0,361660.55,5757.8,5141.43,01268.HK,美东汽车,11.39,23085.79,-2.19,1175790526945.79
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,1097.0,-445.570000000001,40903.0,927473.6,7201.19,7646.76,01208.HK,五矿资源,21.43,24253.29,2.12,1211584185984.37,746.0,-21.0,41254.0,361639.55,5856.45,5877.45,01208.HK,五矿资源,21.43,24253.29,2.12,1221998038592.57
2020-04-08,2250.0,1700.43,39750.0,929174.03,5993.23,4292.8,00867.HK,康哲药业,5.76,23970.37,-1.17,1196886485321.18,1104.0,648.9,40896.0,362288.45,4040.85,3391.95,00694.HK,北京首都机场股份,6.02,23970.37,-1.17,1207252531632.0
2020-04-09,-91.0,-900.110000000001,42091.0,928273.92,4177.15,5077.26,03998.HK,波司登,13.79,24300.33,1.38,1214679507515.86,910.0,335.03,41090.0,362623.48,3885.68,3550.65,03998.HK,波司登,13.79,24300.33,1.38,1225241711312.77
2020-04-14,1063.0,-37.06,40937.0,928236.86,5200.24,5237.3,01691.HK,JS环球生活,14.88,24435.4,0.56,1224708971989.74,1074.0,554.44,40926.0,363177.92,5058.97,4504.53,01691.HK,JS环球生活,14.88,24435.4,0.56,1235756084476.84
2020-04-15,2357.0,1621.38,39643.0,929858.24,7061.42,5440.04,00667.HK,中国东方教育,8.65,24145.34,-1.19,1210515606864.94,402.0,-58.980000000001,41598.0,363118.94,4386.24,4445.22,00667.HK,中国东方教育,8.65,24145.34,-1.19,1221355439100.23
2020-04-16,359.0,-289.16,41641.0,929569.08,4816.04,5105.2,01530.HK,三生制药,6.55,24006.45,-0.58,1208254185810.36,830.0,232.26,41170.0,363351.2,3741.14,3508.88,01610.HK,中粮家佳康,11.0,24006.45,-0.58,1218999736547.93
2020-04-17,4363.0,2805.13,37637.0,932374.21,7316.62,4511.49,01316.HK,耐世特,9.47,24380.0,1.56,1223339112574.38,1726.0,1213.75,40274.0,364564.95,4744.23,3530.48,01610.HK,中粮家佳康,11.21,24380.0,1.56,1233657291135.57
2020-04-20,2084.0,1569.98,39916.0,933944.19,4292.14,2722.16,01833.HK,平安好医生,8.96,24330.02,-0.21,1228658301209.93,1519.0,1068.33,40481.0,365633.28,3704.27,2635.94,01833.HK,平安好医生,8.96,24330.02,-0.21,1239572895761.1
2020-04-21,2794.0,2340.55,39206.0,936284.74,6086.22,3745.67,02880.HK,辽港股份,4.62,23793.55,-2.2,1205846571610.21,1251.0,724.96,40749.0,366358.24,3995.06,3270.1,02880.HK,辽港股份,4.62,23793.55,-2.2,1216531480257.77
2020-04-22,847.0,-453.18,41153.0,935831.56,4257.0,4710.18,00241.HK,阿里健康,10.89,23893.36,0.42,1217184663436.0,1938.0,1421.44,40062.0,367779.68,4058.34,2636.9,00241.HK,阿里健康,10.89,23893.36,0.42,1227370848170.68
2020-04-23,1035.0,134.77,40965.0,935966.33,4490.28,4355.51,01691.HK,JS环球生活,10.06,23977.32,0.35,1223348505177.08,1402.0,1004.42,40598.0,368784.1,3648.65,2644.23,01691.HK,JS环球生活,10.06,23977.32,0.35,1234153657309.19
2020-04-24,906.0,282.95,41094.0,936249.28,3585.24,3302.29,00038.HK,第一拖拉机股份,12.08,23831.33,-0.61,1213578202259.4,643.0,200.26,41357.0,368984.36,3402.59,3202.33,00038.HK,第一拖拉机股份,12.08,23831.33,-0.61,1223812153845.29
2020-04-27,707.0,52.35,41293.0,936301.63,4015.86,3963.51,00038.HK,第一拖拉机股份,10.78,24280.14,1.88,1239475339314.19,1273.0,780.97,40727.0,369765.33,4051.63,3270.66,01052.HK,越秀交通基建,11.23,24280.14,1.88,1249817871324.92
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,-539.0,-1615.27,42539.0,934686.36,8618.1,10233.37,00981.HK,中芯国际,10.75,24137.48,1.13,1243087445351.56,2492.0,1852.48,39508.0,371617.81,6577.72,4725.24,00354.HK,中国软件国际,15.59,24137.48,1.13,1253378136780.22
2020-05-07,385.0,-298.07,41615.0,934388.29,5064.04,5362.11,01530.HK,三生制药,5.43,23980.63,-0.65,1241305783182.21,1959.0,1460.66,40041.0,373078.47,4306.83,2846.17,01585.HK,雅迪控股,10.93,23980.63,-0.65,1252126221765.28
2020-05-08,-606.0,-1415.81,42606.0,932972.48,5612.63,7028.44,00038.HK,第一拖拉机股份,8.24,24230.17,1.04,1260319841748.94,2426.0,1837.23,39574.0,374915.7,5189.8,3352.57,02400.HK,心动公司,16.97,24230.17,1.04,1270889718396.08
2020-05-11,-1399.0,-2296.58,43399.0,930675.9,5661.43,7958.01,01999.HK,敏华控股,8.65,24602.06,1.53,1275300282113.09,1076.0,659.6,40924.0,375575.3,4415.75,3756.15,00095.HK,绿景中国地产,10.6,24602.06,1.53,1285915829895.04
2020-05-12,1287.0,752.76,40713.0,931428.66,4869.54,4116.78,00038.HK,第一拖拉机股份,9.48,24245.68,-1.45,1264930348614.53,1539.0,1075.14,40461.0,376650.44,3827.6,2752.46,00853.HK,微创医疗,10.22,24245.68,-1.45,1275507112192.47
2020-05-13,1991.0,1478.46,40009.0,932907.12,5352.97,3874.51,03396.HK,联想控股,13.32,24180.3,-0.27,1267936268689.91,2364.0,1915.81,39636.0,378566.25,4686.56,2770.75,03396.HK,联想控股,13.32,24180.3,-0.27,1278989800929.59
2020-05-14,2930.0,2471.56,39070.0,935378.68,7543.78,5072.22,00981.HK,中芯国际,9.66,23829.74,-1.45,1256833408120.7,2139.0,1604.79,39861.0,380171.04,5753.67,4148.88,00981.HK,中芯国际,9.66,23829.74,-1.45,1267766899339.1
2020-05-15,1345.0,871.53,40655.0,936250.21,5130.29,4258.76,01999.HK,敏华控股,19.31,23797.47,-0.14,1260402422299.14,1715.0,1206.17,40285.0,381377.21,4489.32,3283.15,01999.HK,敏华控股,19.31,23797.47,-0.14,1271392184552.11
2020-05-18,1155.0,574.469999999999,40845.0,936824.68,6274.99,5700.52,00772.HK,阅文集团,13.58,23934.77,0.58,1269809045128.75,1363.0,778.95,40637.0,382156.16,5657.53,4878.58,00772.HK,阅文集团,13.58,23934.77,0.58,1280706908854.33
2020-05-19,962.0,416.75,41038.0,937241.43,6136.98,5720.23,01316.HK,耐世特,11.03,24388.13,1.89,1293126764587.94,1350.0,807.34,40650.0,382963.5,4737.72,3930.38,02400.HK,心动公司,14.94,24388.13,1.89,1303690325453.52
2020-05-20,713.0,159.099999999999,41287.0,937400.53,4966.11,4807.01,00696.HK,中国民航信息网络,9.85,24399.95,0.05,1296634951807.77,1148.0,658.14,40852.0,383621.64,4560.13,3901.99,00302.HK,中手游,19.17,24399.95,0.05,1307846967691.11
2020-05-21,1700.0,1174.85,40300.0,938575.38,6171.34,4996.49,06865.HK,福莱特玻璃,7.72,24280.03,-0.49,1285615746572.0,-459.0,-1063.3,42459.0,382558.34,4459.28,5522.58,02858.HK,易鑫集团,8.51,24280.03,-0.49,1296124557179.98
2020-05-22,3969.0,3288.76,38031.0,941864.14,10196.36,6907.6,00345.HK,VITASOYINT'L,4.91,22930.14,-5.56,1227958445096.82,1637.0,1124.88,40363.0,383683.22,6612.75,5487.87,00345.HK,VITASOYINT'L,4.91,22930.14,-5.56,1238538351242.52
