MUTUAL_TYPE,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sh2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk,sz2hk
,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP
TRADE_DATE,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-13,2671.0,1887.15,39329.0,1488493.98,7795.7,5908.55,02411.HK,百果园集团,7.53,17813.45,-2.33,2315605619102.02,,,,,,,,,,,,
2023-10-16,2788.0,2014.64,39212.0,1490508.62,8066.38,6051.74,00719.HK,山东新华制药股份,10.93,17640.36,-0.97,2289268129011.65,2586.0,2042.36,39414.0,1362108.57,6580.07,4537.71,00719.HK,山东新华制药股份,10.93,17640.36,-0.97,2294057328713.84
2023-10-17,670.0,-122.280000000001,41330.0,1490386.34,4842.36,4964.64,01468.HK,京基金融国际,11.63,17773.34,0.75,2305110062826.3,1270.0,655.639999999999,40730.0,1362764.21,4943.99,4288.35,01468.HK,京基金融国际,11.63,17773.34,0.75,2309922475434.47
2023-10-18,-1259.0,-2356.42,43259.0,1488029.92,6044.97,8401.39,06088.HK,FITHONTENG,17.27,17732.52,-0.23,2292402683029.2,-1145.0,-1970.52,43145.0,1360793.69,4605.78,6576.3,06088.HK,FITHONTENG,17.27,17732.52,-0.23,2297132347003.51
2023-10-19,2208.0,1438.63,39792.0,1489468.55,7148.0,5709.37,00650.HK,普达特科技,42.42,17295.89,-2.46,2244845488036.47,1123.0,353.71,40877.0,1361147.4,6392.04,6038.33,00650.HK,普达特科技,42.42,17295.89,-2.46,2249528774909.13
2023-10-20,2323.0,1525.33,39677.0,1490993.88,6999.87,5474.54,02416.HK,易点云,9.22,17172.13,-0.72,2228829083705.25,1114.0,342.99,40886.0,1361490.39,5311.37,4968.38,02416.HK,易点云,9.22,17172.13,-0.72,2233523333371.75
2023-10-24,4410.0,3553.04,37590.0,1494546.92,9188.65,5635.61,00650.HK,普达特科技,21.95,16991.53,-1.05,2211813694056.2,-203.0,-1227.89,42203.0,1360262.5,6691.03,7918.92,00650.HK,普达特科技,21.95,16991.53,-1.05,2216454547550.87
2023-10-25,1020.0,196.67,40980.0,1494743.59,7826.08,7629.41,01268.HK,美东汽车,11.65,17085.33,0.55,2218418573824.4,479.0,-247.870000000001,41521.0,1360014.63,6478.44,6726.31,01268.HK,美东汽车,11.65,17085.33,0.55,2223054225480.01
2023-10-26,2512.0,1693.55,39488.0,1496437.14,6761.41,5067.86,00650.HK,普达特科技,29.41,17044.61,-0.24,2214117516336.42,1308.0,533.910000000001,40692.0,1360548.54,5662.39,5128.48,00650.HK,普达特科技,29.41,17044.61,-0.24,2218721282335.71
2023-10-27,2655.0,1661.2,39345.0,1498098.34,8053.34,6392.14,01952.HK,云顶新耀-B,17.42,17398.73,2.08,2259550081000.43,1536.0,750.280000000001,40464.0,1361298.82,6649.06,5898.78,01952.HK,云顶新耀-B,17.42,17398.73,2.08,2264257770246.2
2023-10-30,2502.0,1324.4,39498.0,1499422.74,9413.67,8089.27,09877.HK,健世科技-B,37.66,17406.36,0.04,2267222731283.47,1819.0,922.709999999999,40181.0,1362221.53,8205.63,7282.92,09877.HK,健世科技-B,37.66,17406.36,0.04,2271978109270.08
2023-10-31,1866.0,926.71,40134.0,1500349.45,6875.44,5948.73,00650.HK,普达特科技,31.58,17112.48,-1.69,2236005167367.85,1662.0,1008.76,40338.0,1363230.29,6208.83,5200.07,00650.HK,普达特科技,31.58,17112.48,-1.69,2240757406572.29
2023-11-01,2466.0,1573.37,39534.0,1501922.82,6216.83,4643.46,01112.HK,H&H国际控股,20.36,17101.78,-0.06,2239577056194.96,1323.0,661.13,40677.0,1363891.42,5159.03,4497.9,01112.HK,H&H国际控股,20.36,17101.78,-0.06,2244361619036.06
2023-11-02,1438.0,587.42,40562.0,1502510.24,5799.31,5211.89,02105.HK,来凯医药-B,17.52,17230.59,0.75,2251622849334.1,1050.0,352.47,40950.0,1364243.89,5583.67,5231.2,02105.HK,来凯医药-B,17.52,17230.59,0.75,2256402531682.06
2023-11-03,1547.0,520.44,40453.0,1503030.68,7212.94,6692.5,01310.HK,香港宽频,18.15,17664.12,2.52,2300690070901.98,1490.0,637.82,40510.0,1364881.71,6629.38,5991.56,01310.HK,香港宽频,18.15,17664.12,2.52,2305430459506.73
2023-11-06,1151.0,-245.780000000001,40849.0,1502784.9,11247.46,11493.24,01357.HK,美图公司,12.75,17966.59,1.71,2348334049760.51,2200.0,1080.99,39800.0,1365962.7,11115.37,10034.38,01357.HK,美图公司,12.75,17966.59,1.71,2353137688348.72
2023-11-07,5540.0,4711.13,36460.0,1507496.03,10219.83,5508.7,09877.HK,健世科技-B,11.01,17670.16,-1.65,2322882847183.05,5607.0,4856.09,36393.0,1370818.79,10525.83,5669.74,09877.HK,健世科技-B,11.01,17670.16,-1.65,2327645200323.12
2023-11-08,833.0,-359.190000000001,41167.0,1507136.84,8928.48,9287.67,01918.HK,融创中国,30.11,17568.46,-0.58,2314708942780.12,-52.0,-999.09,42052.0,1369819.7,7356.84,8355.93,01918.HK,融创中国,30.11,17568.46,-0.58,2319466886507.79
2023-11-09,3551.0,2725.69,38449.0,1509862.53,7257.52,4531.83,00120.HK,COSMOPOL-NEW,76.68,17511.29,-0.33,2307209026561.49,2935.0,2314.85,39065.0,1372134.55,6717.74,4402.89,00120.HK,COSMOPOL-NEW,76.68,17511.29,-0.33,2311899733904.3
2023-11-10,3521.0,2578.96,38479.0,1512441.49,8408.92,5829.96,00120.HK,COSMOPOL-NEW,25.2,17203.26,-1.76,2274059519637.47,2568.0,1752.23,39432.0,1373886.78,7208.2,5455.97,00120.HK,COSMOPOL-NEW,25.2,17203.26,-1.76,2278712402340.82
2023-11-13,760.0,-366.57,41240.0,1512074.92,6086.6,6453.17,01942.HK,马可数字科技,51.64,17426.21,1.3,2302142746254.44,-602.0,-1621.69,42602.0,1372265.09,6001.63,7623.32,01942.HK,马可数字科技,51.64,17426.21,1.3,2306798614883.26
2023-11-14,1362.0,397.72,40638.0,1512472.64,7668.91,7271.19,00553.HK,南京熊猫电子股份,16.73,17396.86,-0.17,2298987151145.2,1742.0,965.42,40258.0,1373230.51,6784.2,5818.78,00553.HK,南京熊猫电子股份,16.73,17396.86,-0.17,2303626599756.24
2023-11-15,-3403.0,-5072.2,45403.0,1507400.44,7943.63,13015.83,00553.HK,南京熊猫电子股份,22.73,18079.0,3.92,2371129392142.69,-3090.0,-4473.83,45090.0,1368756.68,7525.94,11999.77,00553.HK,南京熊猫电子股份,22.73,18079.0,3.92,2375854409910.15
2023-11-16,3128.0,2090.28,38872.0,1509490.72,10125.54,8035.26,00553.HK,南京熊猫电子股份,7.69,17832.82,-1.36,2345110516510.68,2982.0,2249.05,39018.0,1371005.73,8551.8,6302.75,00553.HK,南京熊猫电子股份,7.69,17832.82,-1.36,2349807908483.26
2023-11-17,2479.0,1486.83,39521.0,1510977.55,7223.13,5736.3,01057.HK,浙江世宝,19.81,17454.19,-2.12,2308150290089.28,2958.0,2253.14,39042.0,1373258.87,6832.0,4578.86,01057.HK,浙江世宝,19.81,17454.19,-2.12,2312826913920.77
2023-11-20,-2760.0,-4307.36,44760.0,1506670.19,6590.14,10897.5,00553.HK,南京熊猫电子股份,19.55,17778.07,1.86,2350653810488.07,-748.0,-1800.68,42748.0,1371458.19,5943.97,7744.65,00553.HK,南京熊猫电子股份,19.55,17778.07,1.86,2355396094248.57
2023-11-21,-775.0,-1934.47,42775.0,1504735.72,7986.5,9920.97,02416.HK,易点云,46.72,17733.89,-0.25,2346699313185.03,243.0,-501.73,41757.0,1370956.46,6092.7,6594.43,02416.HK,易点云,46.72,17733.89,-0.25,2351512330399.26
2023-11-22,3650.0,2839.98,38350.0,1507575.7,8696.4,5856.42,01563.HK,友联国际教育租赁,7.91,17734.6,0.0,2337624620548.06,2888.0,2323.01,39112.0,1373279.47,7198.0,4874.99,01563.HK,友联国际教育租赁,7.91,17734.6,0.0,2342519454387.13
2023-11-23,-2036.0,-3560.67,44036.0,1504015.03,6124.33,9685.0,03377.HK,远洋集团,31.11,17910.84,0.99,2370334814075.01,-1083.0,-2190.29,43083.0,1371089.18,5320.15,7510.44,03377.HK,远洋集团,31.11,17910.84,0.99,2375352108491.0
2023-11-24,5047.0,4434.51,36953.0,1508449.54,9683.09,5248.58,06689.HK,洪九果品,9.57,17559.42,-1.96,2331382200205.17,4683.0,4292.07,37317.0,1375381.25,8462.26,4170.19,06689.HK,洪九果品,9.57,17559.42,-1.96,2336544645288.82
2023-11-27,1263.0,349.75,40737.0,1508799.29,5920.93,5571.18,00120.HK,COSMOPOL-NEW,37.53,17525.06,-0.2,2325938940369.3,774.0,-2.02,41226.0,1375379.23,5557.35,5559.37,00120.HK,COSMOPOL-NEW,37.53,17525.06,-0.2,2331251506063.85
2023-11-28,-612.0,-1852.84,42612.0,1506946.45,7179.04,9031.88,00867.HK,康哲药业,11.35,17354.14,-0.98,2311936687584.53,-284.0,-1200.47,42284.0,1374178.76,5634.92,6835.39,00867.HK,康哲药业,11.35,17354.14,-0.98,2317275375912.24
2023-11-29,1725.0,650.720000000001,40275.0,1507597.17,12436.18,11785.46,00553.HK,南京熊猫电子股份,41.73,16993.44,-2.08,2271634581000.63,-454.0,-1468.61,42454.0,1372710.15,7416.95,8885.56,00553.HK,南京熊猫电子股份,41.73,16993.44,-2.08,2276892798716.86
2023-11-30,2135.0,1198.54,39865.0,1508795.71,8320.38,7121.84,09877.HK,健世科技-B,26.13,17042.88,0.29,2288375224275.13,1240.0,522.5,40760.0,1373232.65,5459.93,4937.43,09877.HK,健世科技-B,26.13,17042.88,0.29,2293663069828.83
2023-12-01,3713.0,2988.73,38287.0,1511784.44,9144.94,6156.21,06955.HK,博安生物,10.65,16830.3,-1.25,2260917232826.61,2997.0,2300.29,39003.0,1375532.94,7852.49,5552.2,06955.HK,博安生物,10.65,16830.3,-1.25,2266171222800.86
2023-12-04,721.0,-212.85,41279.0,1511571.59,7071.45,7284.3,01468.HK,京基金融国际,9.78,16646.05,-1.09,2233091985142.3,304.0,-482.14,41696.0,1375050.8,6536.28,7018.42,01468.HK,京基金融国际,9.78,16646.05,-1.09,2238322843809.55
2023-12-05,3193.0,2281.7,38807.0,1513853.29,11222.26,8940.56,01797.HK,东方甄选,8.63,16327.86,-1.91,2198294663753.35,2949.0,2280.01,39051.0,1377330.81,9455.35,7175.34,01797.HK,东方甄选,8.63,16327.86,-1.91,2203454193218.06
2023-12-06,3416.0,2666.9,38584.0,1516520.19,7685.84,5018.94,09885.HK,药师帮,25.0,16463.26,0.83,2214176406746.12,3556.0,2943.58,38444.0,1380274.39,8514.01,5570.43,09885.HK,药师帮,25.0,16463.26,0.83,2219361131746.6
2023-12-07,1316.0,174.29,40684.0,1516694.48,7310.32,7136.03,01176.HK,珠光控股,31.84,16345.89,-0.71,2196108434716.37,-852.0,-1809.38,42852.0,1378465.01,4992.98,6802.36,01176.HK,珠光控股,31.84,16345.89,-0.71,2201275892374.0
2023-12-08,2810.0,2047.78,39190.0,1518742.26,8293.45,6245.67,09860.HK,艾迪康控股,12.4,16334.37,-0.07,2184652718454.06,1991.0,1320.97,40009.0,1379785.98,7065.04,5744.07,09860.HK,艾迪康控股,12.4,16334.37,-0.07,2189762864018.18
2023-12-11,3561.0,2786.34,38439.0,1521528.6,8804.83,6018.49,01268.HK,美东汽车,13.54,16201.49,-0.81,2176025509831.43,3509.0,2807.72,38491.0,1382593.7,8807.53,5999.81,01268.HK,美东汽车,13.54,16201.49,-0.81,2181105808254.71
2023-12-12,168.0,-852.62,41832.0,1520675.98,6631.36,7483.98,00772.HK,阅文集团,13.08,16374.5,1.07,2198800517304.7,-882.0,-1845.05,42882.0,1380748.65,5473.69,7318.74,00772.HK,阅文集团,13.08,16374.5,1.07,2203908833867.45
2023-12-13,1339.0,566.950000000001,40661.0,1521242.93,6485.85,5918.9,09688.HK,再鼎医药,6.59,16228.75,-0.89,2170895929930.57,933.0,288.009999999999,41067.0,1381036.66,5026.48,4738.47,09688.HK,再鼎医药,6.59,16228.75,-0.89,2175941603061.25
2023-12-14,-3523.0,-4785.46,45523.0,1516457.47,5489.02,10274.48,03650.HK,KEEP,30.42,16402.19,1.07,2185231336923.66,-3761.0,-4912.77,45761.0,1376123.89,4644.9,9557.67,03650.HK,KEEP,30.42,16402.19,1.07,2190294374565.38
2023-12-15,-484.0,-1670.38,42484.0,1514787.09,7048.99,8719.37,01918.HK,融创中国,16.3,16792.19,2.38,2221595947762.4,-1300.0,-2292.71,43300.0,1373831.18,5130.04,7422.75,01918.HK,融创中国,16.3,16792.19,2.38,2226708665013.98
2023-12-18,6757.0,6314.63,35243.0,1521101.72,11156.89,4842.26,01797.HK,东方甄选,21.9,16629.23,-0.97,2196338580824.86,5820.0,5435.26,36180.0,1379266.44,10786.6,5351.34,01797.HK,东方甄选,21.9,16629.23,-0.97,2201410737784.97
2023-12-19,2062.0,1243.84,39938.0,1522345.56,7648.74,6404.9,01176.HK,珠光控股,14.36,16505.0,-0.75,2175113292211.93,708.0,29.67,41292.0,1379296.11,5077.99,5048.32,01176.HK,珠光控股,14.36,16505.0,-0.75,2180138249575.0
2023-12-20,-3583.0,-4813.08,45583.0,1517532.48,4424.23,9237.31,09885.HK,药师帮,9.81,16613.81,0.66,2181267183928.1,-4991.0,-6225.87,46991.0,1373070.24,3334.97,9560.84,09885.HK,药师帮,9.81,16613.81,0.66,2186270275432.38
2023-12-21,2134.0,1461.49,39866.0,1518993.97,5206.74,3745.25,01992.HK,复星旅游文化,11.38,16621.13,0.04,2185294158822.51,1544.0,976.01,40456.0,1374046.25,4516.6,3540.59,01992.HK,复星旅游文化,11.38,16621.13,0.04,2190358071689.41
2023-12-22,-1056.0,-2587.97,43056.0,1516406.0,13977.43,16565.4,02362.HK,金川国际,8.47,16340.41,-1.69,2134291342871.76,-570.0,-1689.21,42570.0,1372357.04,9707.0,11396.21,02362.HK,金川国际,8.47,16340.41,-1.69,2139242382781.26
2023-12-27,1636.0,570.700000000001,40364.0,1516976.7,8940.45,8369.75,09669.HK,北森控股,31.8,16624.84,1.74,2171304065924.21,1567.0,671.6,40433.0,1373028.64,8109.04,7437.44,09669.HK,北森控股,31.8,16624.84,1.74,2176368880603.96
2023-12-28,-210.0,-1539.07,42210.0,1515437.63,8141.47,9680.54,09669.HK,北森控股,29.35,17043.53,2.52,2222644772422.79,532.0,-426.13,41468.0,1372602.51,7450.73,7876.86,09669.HK,北森控股,29.35,17043.53,2.52,2227874601078.34
